"Qubit","T1 (us)","T2 (us)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","RX error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","CZ error ","RZZ error ","Gate time (ns)","Operational"
"39","135.56661928749395","109.5968750273887","0.016357421875","0.02880859375","0.00390625","2584","0.0006372251155731305","0.0006372251155731305","0","0.0006372251155731305","0.0006372251155731305","39_53:0.0017535047833428519;39_33:0.0014740686633410438","39_53:0.004125634129572231;39_33:0.0030483604883186632","39_53:68;39_33:68","true"
"40","104.204383882505","116.52464002858878","0.22607421875","0.13330078125","0.31884765625","2584","0.00026171493420242177","0.00026171493420242177","0","0.00026171493420242177","0.00026171493420242177","40_41:0.1196531534294986","40_41:0.01680450314905968","40_41:68","true"
"41","182.2406691912929","30.47491203690036","0.0048828125","0.0078125","0.001953125","2584","0.0007041993341747235","0.0007041993341747235","0","0.0007041993341747235","0.0007041993341747235","41_40:0.1196531534294986;41_42:0.0028446130196024266;41_36:0.00502265301413779","41_40:0.01680450314905968;41_42:0.0015840087291593141;41_36:0.0029155399390863312","41_40:68;41_42:68;41_36:68","true"
"42","105.83151592224363","84.48093328414838","0.0068359375","0.01025390625","0.00341796875","2584","0.00022556658751666747","0.00022556658751666747","0","0.00022556658751666747","0.00022556658751666747","42_41:0.0028446130196024266;42_43:0.007113136448809287","42_41:0.0015840087291593141;42_43:0.007053074616596017","42_41:68;42_43:68","true"
"43","270.4499638547007","109.19092012532803","0.006103515625","0.00830078125","0.00390625","2584","0.000433097284564416","0.000433097284564416","0","0.000433097284564416","0.000433097284564416","43_42:0.007113136448809287;43_56:0.005129525728302636;43_44:0.0014413714463395177","43_42:0.007053074616596017;43_56:0.0046206801287400345;43_44:0.0030593397171643777","43_42:68;43_56:68;43_44:68","true"
"44","263.0730144738202","246.26810742281816","0.0078125","0.013671875","0.001953125","2584","0.0004578465583763866","0.0004578465583763866","0","0.0004578465583763866","0.0004578465583763866","44_45:0.002055738260705625;44_43:0.0014413714463395177","44_45:0.0028806457559892307;44_43:0.0030593397171643777","44_45:68;44_43:68","true"
"45","127.23569434602949","110.42361245891362","0.003662109375","0.005859375","0.00146484375","2584","0.00030883223454279864","0.00030883223454279864","0","0.00030883223454279864","0.00030883223454279864","45_44:0.002055738260705625;45_46:0.002045928991942697;45_37:0.0046966576683910854","45_44:0.0028806457559892307;45_46:0.0013614976561166225;45_37:0.008256389075678439","45_44:68;45_46:68;45_37:68","true"
"46","261.1812560904176","137.93215467786487","0.009521484375","0.0166015625","0.00244140625","2584","0.0002692708592838469","0.0002692708592838469","0","0.0002692708592838469","0.0002692708592838469","46_45:0.002045928991942697;46_47:0.0015392293587705164","46_45:0.0013614976561166225;46_47:0.0033026824869670512","46_45:68;46_47:68","true"
"47","208.43368314560402","48.78353412188859","0.004638671875","0.0068359375","0.00244140625","2584","0.00022899139883987595","0.00022899139883987595","0","0.00022899139883987595","0.00022899139883987595","47_48:0.0035997540051815047;47_57:0.0015551289700603266;47_46:0.0015392293587705164","47_48:0.003176769838648952;47_57:0.0038876672032537862;47_46:0.0033026824869670512","47_48:68;47_57:68;47_46:68","true"
"48","259.725646703503","242.61681427289912","0.021240234375","0.03662109375","0.005859375","2584","0.0013866121080749788","0.0013866121080749788","0","0.0013866121080749788","0.0013866121080749788","48_47:0.0035997540051815047;48_49:0.003572288191667633","48_47:0.003176769838648952;48_49:0.003276179277387936","48_47:68;48_49:68","true"
"49","200.20178032472566","197.28988799165373","0.024658203125","0.04541015625","0.00390625","2584","0.0009261938686509922","0.0009261938686509922","0","0.0009261938686509922","0.0009261938686509922","49_48:0.003572288191667633;49_50:0.0019660359634456614;49_38:0.001973402620875725","49_48:0.003276179277387936;49_50:0.002642677083747963;49_38:0.004006805527715207","49_48:68;49_50:68;49_38:68","true"
"50","172.389786257508","168.55166868057228","0.0400390625","0.03125","0.048828125","2584","0.00020806122399486058","0.00020806122399486058","0","0.00020806122399486058","0.00020806122399486058","50_49:0.0019660359634456614;50_51:0.0022951826573378853","50_49:0.002642677083747963;50_51:0.002115293532284346","50_49:68;50_51:68","true"
"51","251.73862822559508","344.89432190330916","0.11279296875","0.18212890625","0.04345703125","2584","0.0006593763792052926","0.0006593763792052926","0","0.0006593763792052926","0.0006593763792052926","51_50:0.0022951826573378853;51_52:0.0027517282303496093;51_58:0.0020877956983915424","51_50:0.002115293532284346;51_52:0.0037444636591037472;51_58:0.006267787346790371","51_50:68;51_52:68;51_58:68","true"
"52","156.864326038312","145.72481326041824","0.008544921875","0.0107421875","0.00634765625","2584","0.000315212905371996","0.000315212905371996","0","0.000315212905371996","0.000315212905371996","52_51:0.0027517282303496093;52_53:0.0024366971872626098","52_51:0.0037444636591037472;52_53:0.004624102911774758","52_51:68;52_53:68","true"
"53","182.74970053985638","255.81563117926706","0.00390625","0.0068359375","0.0009765625","2584","0.00024327734225206658","0.00024327734225206658","0","0.00024327734225206658","0.00024327734225206658","53_39:0.0017535047833428519;53_52:0.0024366971872626098;53_54:0.0021257565340967177","53_39:0.004125634129572231;53_52:0.004624102911774758;53_54:0.003119251778079507","53_39:68;53_52:68;53_54:68","true"
"54","215.09808269543862","321.7060444909121","0.002685546875","0.0048828125","0.00048828125","2584","0.00015990165214782785","0.00015990165214782785","0","0.00015990165214782785","0.00015990165214782785","54_53:0.0021257565340967177;54_55:0.0016696520661019232","54_53:0.003119251778079507;54_55:0.0027902277233600448","54_53:68;54_55:68","true"
"55","236.2752114351243","71.87043045632565","0.01220703125","0.01318359375","0.01123046875","2584","0.00043783768537340934","0.00043783768537340934","0","0.00043783768537340934","0.00043783768537340934","55_59:0.0021306029119276815;55_54:0.0016696520661019232","55_59:0.003419421865705735;55_54:0.0027902277233600448","55_59:68;55_54:68","true"
"56","236.44648910978927","160.97968599208852","0.011474609375","0.017578125","0.00537109375","2584","0.0006522349338494537","0.0006522349338494537","0","0.0006522349338494537","0.0006522349338494537","56_63:0.006994083305804394;56_43:0.005129525728302636","56_63:0.003935690818555826;56_43:0.0046206801287400345","56_63:68;56_43:68","true"
"57","251.16441437694417","140.25678099564584","0.007568359375","0.0126953125","0.00244140625","2584","0.00029257720559427465","0.00029257720559427465","0","0.00029257720559427465","0.00029257720559427465","57_47:0.0015551289700603266;57_67:0.004704141364957698","57_47:0.0038876672032537862;57_67:0.004160320936330841","57_47:68;57_67:68","true"
"58","255.60730090313024","342.02451899945146","0.103759765625","0.12548828125","0.08203125","2584","0.00024044929202488415","0.00024044929202488415","0","0.00024044929202488415","0.00024044929202488415","58_71:0.0020969420606941624;58_51:0.0020877956983915424","58_71:1;58_51:0.006267787346790371","58_71:68;58_51:68","true"
"59","142.83873394927917","132.40075291128548","0.0146484375","0.02294921875","0.00634765625","2584","0.00029899748530447603","0.00029899748530447603","0","0.00029899748530447603","0.00029899748530447603","59_55:0.0021306029119276815;59_75:0.0021576344944522208","59_55:0.003419421865705735;59_75:0.00859667197710931","59_55:68;59_75:68","true"
"60","185.01773405373515","124.43642621218072","0.019775390625","0.025390625","0.01416015625","2584","0.00045718888382070215","0.00045718888382070215","0","0.00045718888382070215","0.00045718888382070215","60_61:0.009051076699786997","60_61:1","60_61:80","true"
"61","375.8954953723235","307.3099320236502","0.01171875","0.017578125","0.005859375","2584","0.00028018528622058056","0.00028018528622058056","0","0.00028018528622058056","0.00028018528622058056","61_76:0.0027773721689783593;61_60:0.009051076699786997;61_62:0.003964503260787566","61_76:0.0022713441185905625;61_60:1;61_62:0.003691409553845143","61_76:68;61_60:80;61_62:68","true"
"62","135.20175290000103","65.616824421648","0.449462890625","0.048828125","0.85009765625","2584","0.00025176709737516036","0.00025176709737516036","0","0.00025176709737516036","0.00025176709737516036","62_61:0.003964503260787566;62_63:0.0021293258543886306","62_61:0.003691409553845143;62_63:0.002833321148038831","62_61:68;62_63:68","true"
"63","205.1822223002602","176.3050947230213","0.038818359375","0.07373046875","0.00390625","2584","0.00024517186428013956","0.00024517186428013956","0","0.00024517186428013956","0.00024517186428013956","63_56:0.006994083305804394;63_62:0.0021293258543886306;63_64:0.005209645007511587","63_56:0.003935690818555826;63_62:0.002833321148038831;63_64:0.0037778380422826274","63_56:68;63_62:68;63_64:68","true"
"64","144.31911781138356","124.0744155116594","0.0087890625","0.01513671875","0.00244140625","2584","0.00042387487676364094","0.00042387487676364094","0","0.00042387487676364094","0.00042387487676364094","64_65:0.003884058408600205;64_63:0.005209645007511587","64_65:0.005495437504752065;64_63:0.0037778380422826274","64_65:68;64_63:68","true"
"65","212.8239037269994","68.09871565122171","0.005859375","0.01171875","0","2584","0.00028787154742459517","0.00028787154742459517","0","0.00028787154742459517","0.00028787154742459517","65_64:0.003884058408600205;65_66:0.002268672074835054;65_77:0.0032835998601928595","65_64:0.005495437504752065;65_66:0.003982444921916101;65_77:0.008215092331465612","65_64:68;65_66:68;65_77:68","true"
"66","115.60435523884341","31.418881970374503","0.006591796875","0.01318359375","0","2584","0.000409670496211895","0.000409670496211895","0","0.000409670496211895","0.000409670496211895","66_65:0.002268672074835054;66_67:0.0023916758147904393","66_65:0.003982444921916101;66_67:0.002459941920239933","66_65:68;66_67:68","true"
"67","232.57533853714855","59.874993713978235","0.009033203125","0.01220703125","0.005859375","2584","0.0001950362314877325","0.0001950362314877325","0","0.0001950362314877325","0.0001950362314877325","67_68:0.004158626030035972;67_57:0.004704141364957698;67_66:0.0023916758147904393","67_68:0.006329078408437161;67_57:0.004160320936330841;67_66:0.002459941920239933","67_68:68;67_57:68;67_66:68","true"
"68","86.55087360953954","14.906243894304291","0.011474609375","0.0185546875","0.00439453125","2584","0.00048352485860663033","0.00048352485860663033","0","0.00048352485860663033","0.00048352485860663033","68_67:0.004158626030035972;68_69:0.0033293081849789796","68_67:0.006329078408437161;68_69:0.006374210767754407","68_67:68;68_69:68","true"
"69","70.75662083695256","24.361958053584313","0.0419921875","0.0556640625","0.0283203125","2584","0.00023894315719054197","0.00023894315719054197","0","0.00023894315719054197","0.00023894315719054197","69_78:0.003654483537586295;69_68:0.0033293081849789796;69_70:0.0020259507728663806","69_78:0.0028939973373943717;69_68:0.006374210767754407;69_70:0.0017270893265019793","69_78:68;69_68:68;69_70:80","true"
"70","123.27966814223461","24.15560911466843","0.031005859375","0.05078125","0.01123046875","2584","0.00019841135655159674","0.00019841135655159674","0","0.00019841135655159674","0.00019841135655159674","70_69:0.0020259507728663806;70_71:0.0016754741378461335","70_69:0.0017270893265019793;70_71:0.0034992084146659164","70_69:80;70_71:68","true"
"71","164.8865860157365","197.56086702549493","0.01416015625","0.0263671875","0.001953125","2584","0.000172633217615243","0.000172633217615243","0","0.000172633217615243","0.000172633217615243","71_72:0.002861916838301337;71_58:0.0020969420606941624;71_70:0.0016754741378461335","71_72:0.01464459011738875;71_58:1;71_70:0.0034992084146659164","71_72:68;71_58:68;71_70:68","true"
"72","145.08882502229642","40.89314830619493","0.009765625","0.01806640625","0.00146484375","2584","0.0008477378065653693","0.0008477378065653693","0","0.0008477378065653693","0.0008477378065653693","72_73:0.0027784879300493115;72_71:0.002861916838301337","72_73:0.002819052831672414;72_71:0.01464459011738875","72_73:68;72_71:68","true"
"73","168.09795219390355","155.78791987161537","0.019775390625","0.03466796875","0.0048828125","2584","0.00037053814875404593","0.00037053814875404593","0","0.00037053814875404593","0.00037053814875404593","73_72:0.0027784879300493115;73_74:0.003077900111576215;73_79:0.002283012646058319","73_72:0.002819052831672414;73_74:0.0038667024588106835;73_79:0.0028874794373853485","73_72:68;73_74:68;73_79:68","true"
"74","88.20273795632642","14.668661396103223","0.02587890625","0.0244140625","0.02734375","2584","0.00023388871444252252","0.00023388871444252252","0","0.00023388871444252252","0.00023388871444252252","74_73:0.003077900111576215;74_75:0.002224582058038549","74_73:0.0038667024588106835;74_75:0.0025235265263669204","74_73:68;74_75:68","true"
"75","388.42314640764","185.48318319901185","0.004638671875","0.0087890625","0.00048828125","2584","0.00020840781646446388","0.00020840781646446388","0","0.00020840781646446388","0.00020840781646446388","75_59:0.0021576344944522208;75_74:0.002224582058038549","75_59:0.00859667197710931;75_74:0.0025235265263669204","75_59:68;75_74:68","true"
"76","142.04615315677808","59.48592917106323","0.01025390625","0.0126953125","0.0078125","2584","0.0002399645445179417","0.0002399645445179417","0","0.0002399645445179417","0.0002399645445179417","76_81:0.007283345858801915;76_61:0.0027773721689783593","76_81:0.008037876425528279;76_61:0.0022713441185905625","76_81:68;76_61:68","true"
"77","259.9888336899595","113.82853660695142","0.01220703125","0.021484375","0.0029296875","2584","0.0003897312254729684","0.0003897312254729684","0","0.0003897312254729684","0.0003897312254729684","77_85:0.004607492467287422;77_65:0.0032835998601928595","77_85:0.006618009315632001;77_65:0.008215092331465612","77_85:68;77_65:68","true"
"78","146.68219958899383","156.51456850845747","0.01220703125","0.021484375","0.0029296875","2584","0.0003704875367826222","0.0003704875367826222","0","0.0003704875367826222","0.0003704875367826222","78_69:0.003654483537586295;78_89:0.003275090476948239","78_69:0.0028939973373943717;78_89:0.0012429463109034644","78_69:68;78_89:68","true"
